Year,reporting_delay,p
2014,127,1.1378192381827684e-5
2014,128,1.1017153212682804e-5
2014,129,1.0669682958350525e-5
2014,130,1.0335190790505087e-5
2014,131,1.0013115167195988e-5
2014,132,9.702922203678174e-6
2014,133,9.404104143765184e-6
2014,134,9.116177924892532e-6
2014,135,8.83868383058203e-6
2014,136,8.571184224460192e-6
2014,137,8.313262360409832e-6
2014,138,8.064521263826727e-6
2014,139,7.824582679314681e-6
2014,140,7.593086080485893e-6
2014,141,7.369687737841803e-6
2014,142,7.154059840993017e-6
2014,143,6.945889671739769e-6
2014,144,6.74487882477706e-6
2014,145,6.550742473012557e-6
2014,146,6.363208674692843e-6
2014,147,6.182017719725751e-6
2014,148,6.006921512764114e-6
2014,149,5.837682990781058e-6
2014,150,5.6740755730196315e-6
2014,151,5.515882641340886e-6
2014,152,5.362897049126171e-6
2014,153,5.214920657011054e-6
2014,154,5.071763893841353e-6
2014,155,4.933245341347263e-6
2014,156,4.799191341128754e-6
2014,157,4.6694356226366625e-6
2014,158,4.543818950918214e-6
2014,159,4.422188792974417e-6
2014,160,4.304399001649622e-6
2014,161,4.190309516042401e-6
2014,162,4.079786077489761e-6
2014,163,3.972699960236044e-6
2014,164,3.868927715953505e-6
2014,165,3.7683509313323603e-6
2014,166,3.6708559980066976e-6
2014,167,3.5763338941273174e-6
2014,168,3.484679976934291e-6
2014,169,3.3957937857214594e-6
2014,170,3.309578854621542e-6
2014,171,3.2259425346746065e-6
2014,172,3.1447958246748308e-6
2014,173,3.066053210320244e-6
2014,174,2.9896325112184346e-6
2014,175,2.9154547353268815e-6
2014,176,2.843443940431842e-6
2014,177,2.7735271022920367e-6
2014,178,2.705633989095593e-6
2014,179,2.639697041898329e-6
2014,180,2.5756512607308827e-6
2014,181,2.5134340960797485e-6
2014,182,2.452985345464022e-6
2014,183,2.39424705484535e-6
2014,184,2.3371634246233838e-6
2014,185,2.2816807199825745e-6
2014,186,2.2277471853695514e-6
2014,187,2.175312962892271e-6
2014,188,2.124330014443511e-6
2014,189,2.074752047362487e-6
2014,190,2.0265344434580903e-6
2014,191,1.979634191227099e-6
2014,192,1.9340098211095493e-6
2014,193,1.889621343632069e-6
2014,194,1.846430190297823e-6
2014,195,1.8043991570893519e-6
2014,196,1.7634923504575866e-6
2014,197,1.7236751356771258e-6
2014,198,1.684914087453995e-6
2014,199,1.647176942678187e-6
2014,200,1.6104325552188444e-6
2015,1,0.19600574107680585
2015,2,0.1548161937047103
2015,3,0.11419243000179635
2015,4,0.085410784559854
2015,5,0.06534239024952693
2015,6,0.05107007465696867
2015,7,0.040668924137727824
2015,8,0.032912264802158975
2015,9,0.027007905892240242
2015,10,0.022431957457337497
2015,11,0.018829207938315537
2015,12,0.015953074839815375
2015,13,0.013628668906329066
2015,14,0.011729525739845835
2015,15,0.01016259317776219
2015,16,0.008858323937950639
2015,17,0.0077639992767867165
2015,18,0.006839142834411688
2015,19,0.0060523145326186285
2015,20,0.005378832992856868
2015,21,0.0047991336134809316
2015,22,0.00429756882385151
2015,23,0.0038615204869928478
2015,24,0.0034807356739802093
2015,25,0.0031468243035530394
2015,26,0.002852875451135775
2015,27,0.002593161605669943
2015,28,0.0023629087662975544
2015,29,0.002158116294186736
2015,30,0.00197541469654295
2015,31,0.0018119525686676598
2015,32,0.0016653061236790454
2015,33,0.0015334063479672231
2015,34,0.0014144800051964675
2015,35,0.0013070015918532577
2015,36,0.0012096540065962785
2015,37,0.0011212961932542073
2015,38,0.001040936395625878
2015,39,9.67709951849263e-4
2015,40,9.008607792724464e-4
2015,41,0.00083972587379949515
2015,42,7.837222826533798e-4
2015,43,7.323361153688424e-4
2015,44,6.851132413222718e-4
2015,45,6.41651388292299e-4
2015,46,6.015934092703351e-4
2015,47,5.64621526940612e-4
2015,48,5.304523991780557e-4
2015,49,4.988328763091617e-4
2015,50,4.6953634309527474e-4
2015,51,4.4235955648181996e-4
2015,52,4.1711990493527524e-4
2015,53,3.936530273111114e-4
2015,54,3.7181073917343305e-4
2015,55,3.5145922272801944e-4
2015,56,3.324774433595568e-4
2015,57,3.1475576144102726e-4
2015,58,2.9819471281725937e-4
2015,59,2.8270393532399147e-4
2015,60,2.6820122202468485e-4
2015,61,2.546116846404914e-4
2015,62,2.41867013004383e-4
2015,63,2.2990481836215944e-4
2015,64,2.1866805003142073e-4
2015,65,2.081044763642156e-4
2015,66,1.9816622218104656e-4
2015,67,1.8880935588711802e-4
2015,68,1.7999352037428612e-4
2015,69,1.716816025775401e-4
2015,70,1.6383943721248232e-4
2015,71,1.5643554078654704e-4
2015,72,1.494408724652245e-4
2015,73,1.4282861879686125e-4
2015,74,1.3657399966532645e-4
2015,75,1.3065409315715545e-4
2015,76,1.250476773055746e-4
2015,77,1.1973508691396365e-4
2015,78,1.1469808387072829e-4
2015,79,1.099197395505436e-4
2015,80,1.0538432805701416e-4
2015,81,1.0107722920210433e-4
2015,82,9.698484024085155e-5
2015,83,9.30944954881202e-5
2015,84,8.9394393039464e-5
2015,85,8.587352790217431e-5
2015,86,8.252163091676561e-5
2015,87,7.932911291471196e-5
2015,88,7.628701361629616e-5
2015,89,7.338695482386874e-5
2015,90,7.062109751147493e-5
2015,91,6.798210245237525e-5
2015,92,6.546309406207372e-5
2015,93,6.305762716662354e-5
2015,94,6.075965643464084e-5
2015,95,5.856350823705986e-5
2015,96,5.646385472153577e-5
2015,97,5.445568990887197e-5
2015,98,5.2534307637184745e-5
2015,99,5.069528119595858e-5
2015,100,4.8934444506902975e-5
2015,101,4.724787472178284e-5
2015,102,4.563187611931743e-5
2015,103,4.4082965193983605e-5
2015,104,4.259785683923243e-5
2015,105,4.1173451536353663e-5
2015,106,3.98068234681073e-5
2015,107,3.849520948335452e-5
2015,108,3.7235998845365073e-5
2015,109,3.602672370230477e-5
2015,110,3.4865050223688394e-5
2015,111,3.374877035137395e-5
2015,112,3.267579411801659e-5
2015,113,3.164414248985269e-5
2015,114,3.065194069426844e-5
2015,115,2.9697411995872203e-5
2015,116,2.8778871887763987e-5
2015,117,2.789472266739872e-5
2015,118,2.7043448368911387e-5
2015,119,2.62236100260222e-5
2015,120,2.543384124169854e-5
2015,121,2.467284404262702e-5
2015,122,2.3939384998269853e-5
2015,123,2.323229158584901e-5
2015,124,2.2550448784043513e-5
2015,125,2.189279587950281e-5
2015,126,2.1258323471488167e-5
2015,127,2.0646070661064204e-5
2015,128,2.0055122412280677e-5
2015,129,1.9484607073719485e-5
2015,130,1.8933694049642593e-5
2015,131,1.8401591610766356e-5
2015,132,1.78875448354165e-5
2015,133,1.739083367248706e-5
2015,134,1.6910771118244405e-5
2015,135,1.6446701499586374e-5
2015,136,1.5997998856891844e-5
2015,137,1.556406542007978e-5
2015,138,1.5144330171944624e-5
2015,139,1.4738247493248513e-5
2015,140,1.4345295884431377e-5
2015,141,1.396497675915538e-5
2015,142,1.3596813305225201e-5
2015,143,1.3240349408729243e-5
2015,144,1.2895148637527309e-5
2015,145,1.2560793280470079e-5
2015,146,1.2236883438975636e-5
2015,147,1.1923036167813518e-5
2015,148,1.1618884662152661e-5
2015,149,1.1324077488123098e-5
2015,150,1.1038277854319636e-5
2015,151,1.0761162921842264e-5
2015,152,1.0492423150622754e-5
2015,153,1.0231761679930458e-5
2015,154,9.978893741084199e-6
2015,155,9.733546100521993e-6
2015,156,9.49545653149605e-6
2015,157,9.264373312768954e-6
2015,158,9.040054752787566e-6
2015,159,8.822268737905303e-6
2015,160,8.610792303311049e-6
2015,161,8.40541122540503e-6
2015,162,8.20591963443845e-6
2015,163,8.012119646304563e-6
2015,164,7.823821012436665e-6
2015,165,7.640840786829619e-6
2015,166,7.463003009260885e-6
2015,167,7.290138403841277e-6
2015,168,7.122084092076234e-6
2015,169,6.958683319667235e-6
2015,170,6.799785196327087e-6
2015,171,6.64524444792468e-6
2015,172,6.494921180314805e-6
2015,173,6.348680654244716e-6
2015,174,6.206393070764664e-6
2015,175,6.06793336660081e-6
2015,176,5.933181018980802e-6
2015,177,5.8020198594296336e-6
2015,178,5.6743378960813536e-6
2015,179,5.550027144076501e-6
2015,180,5.4289834636394284e-06
2015,181,5.311106405451887e-6
2015,182,5.196299062959955e-6
2015,183,5.084467931271424e-6
2015,184,4.975522772319266e-6
2015,185,4.869376485983818e-6
2015,186,4.765944986883624e-6
